STATE,POPULATION
Alabama,4846411
Alaska,737046
Arizona,6728783
Arkansas,2966835
California,38792291
Colorado,5355588
Connecticut,3594762
Delaware,935968
District of Columbia,659836
Florida,19905569
Georgia,10097132
Hawaii,1420257
Idaho,1634806
Illinois,12882189
Indiana,6597880
Iowa,3109481
Kansas,2902507
Kentucky,4412617
Louisiana,4648990
Maine,1330256
Maryland,5975346
Massachusetts,6755124
Michigan,9916306
Minnesota,5457125
Mississippi,2993443
Missouri,6063827
Montana,1023252
Nebraska,1882980
Nevada,2838281
New Hampshire,1327996
New Jersey,8938844
New Mexico,2085567
New York,19748858
North Carolina,9940387
North Dakota,740040
Ohio,11596998
Oklahoma,3879610
Oregon,3971202
Pennsylvania,12793767
Rhode Island,1054907
South Carolina,4829160
South Dakota,853304
Tennessee,6547779
Texas,26979078
Utah,2944498
Vermont,626767
Virginia,8328098
Washington,7063166
West Virginia,1848751
Wisconsin,5759432
Wyoming,584304
Puerto Rico,3534888
